Id,y_pred
0,True
1,True
2,True
3,True
4,False
5,False
6,True
7,False
8,False
9,True
10,False
11,False
12,True
13,True
14,True
15,True
16,False
17,True
18,False
19,False
20,True
21,False
22,False
23,False
24,True
25,True
26,False
27,True
28,True
29,False
30,False
31,False
32,False
33,True
34,True
35,True
36,False
37,False
38,False
39,True
40,False
41,True
42,True
43,False
44,True
45,True
46,False
47,False
48,False
49,False
50,False
51,True
52,False
53,True
54,True
55,False
56,False
57,False
58,False
59,False
60,False
61,False
62,False
63,True
64,False
65,True
66,True
67,False
68,True
69,True
70,True
71,True
72,False
73,True
74,True
75,True
76,False
77,False
78,False
79,False
80,False
81,True
82,True
83,False
84,True
85,False
86,False
87,False
88,False
89,True
90,True
91,False
92,True
93,True
94,True
95,False
96,False
97,True
98,False
99,True
100,True
101,False
102,False
103,True
104,False
105,True
106,False
107,True
108,False
109,False
110,True
111,True
112,False
113,False
114,True
115,False
116,True
117,True
118,True
119,False
120,True
121,False
122,True
123,False
124,True
125,True
126,False
127,False
128,False
129,True
130,False
131,True
132,True
133,False
134,True
135,True
136,False
137,True
138,True
139,False
140,False
141,False
142,True
143,True
144,False
145,False
146,False
147,True
148,True
149,False
150,True
151,True
152,True
153,False
154,False
155,False
156,True
157,True
158,True
159,True
160,True
161,True
162,False
163,True
164,False
165,False
166,False
167,True
168,False
169,True
170,True
171,False
172,False
173,True
174,False
175,False
176,True
177,True
178,True
179,True
180,True
181,False
182,False
183,False
184,False
185,True
186,False
187,False
188,True
189,True
190,False
191,False
192,True
193,True
194,True
195,False
196,True
197,True
198,True
199,False
200,False
201,False
202,True
203,False
204,True
205,True
206,False
207,True
208,True
209,True
210,True
211,True
212,False
213,True
214,True
215,False
216,True
217,True
218,True
219,True
220,True
221,True
222,False
223,True
224,True
225,True
226,True
227,True
228,False
229,False
230,True
231,False
232,True
233,False
234,True
235,True
236,True
237,True
238,False
239,False
240,False
241,True
242,True
243,True
244,True
245,False
246,False
247,True
248,True
249,False
250,True
251,False
252,True
253,True
254,True
255,False
256,True
257,True
258,True
259,True
260,True
261,False
262,False
263,False
264,True
265,False
266,True
267,True
268,True
269,True
270,True
271,True
272,False
273,True
274,False
275,False
276,False
277,True
278,True
279,False
280,True
281,False
282,False
283,True
284,False
285,False
286,True
287,False
288,True
289,False
290,False
291,False
292,False
293,True
294,True
295,True
296,False
297,False
298,False
299,True
300,True
301,False
302,True
303,True
304,True
305,False
306,True
307,True
308,False
309,True
310,True
311,False
312,True
313,False
314,False
315,True
316,False
317,False
318,True
319,False
320,False
321,False
322,False
323,True
324,True
325,False
326,False
327,True
328,True
329,True
330,True
331,False
332,True
333,True
334,False
335,True
336,False
337,True
338,False
339,False
340,False
341,True
342,True
343,True
344,True
345,False
346,True
347,True
348,False
349,True
350,False
351,True
352,False
353,True
354,True
355,False
356,False
357,False
358,True
359,True
360,False
361,True
362,True
363,False
364,True
365,True
366,True
367,False
368,False
369,False
370,False
371,True
372,False
373,True
374,False
375,True
376,False
377,True
378,False
379,True
380,True
381,True
382,False
383,True
384,False
385,False
386,False
387,True
388,False
389,True
390,True
391,False
392,False
393,True
394,True
395,True
396,False
397,True
398,False
399,False
400,False
401,True
402,False
403,True
404,False
405,False
406,True
407,True
408,True
409,True
410,True
411,False
412,False
413,True
414,True
415,False
416,True
417,False
418,True
419,True
420,True
421,True
422,False
423,False
424,True
425,False
426,False
427,True
428,True
429,True
430,False
431,True
432,False
433,False
434,False
435,True
436,False
437,True
438,False
439,True
440,False
441,False
442,False
443,True
444,True
445,True
446,False
447,True
448,False
449,True
450,True
451,True
452,True
453,True
454,True
455,False
456,False
457,True
458,True
459,True
460,True
461,False
462,False
463,True
464,False
465,True
466,False
467,False
468,True
469,True
470,False
471,True
472,False
473,True
474,True
475,True
476,True
477,False
478,True
479,False
480,True
481,True
482,True
483,False
484,False
485,False
486,False
487,True
488,False
489,False
490,False
491,True
492,False
493,False
494,True
495,False
496,True
497,True
498,True
499,True
500,True
501,True
502,True
503,True
504,True
505,True
506,False
507,False
508,True
509,True
510,True
511,False
512,False
513,False
514,True
515,True
516,True
517,True
518,True
519,True
520,False
521,True
522,False
523,False
524,False
525,False
526,False
527,True
528,False
529,False
530,True
531,True
532,True
533,False
534,False
535,True
536,True
537,True
538,True
539,True
540,True
541,True
542,False
543,True
544,True
545,False
546,True
547,False
548,True
549,True
550,False
551,False
552,False
553,False
554,False
555,True
556,True
557,True
558,True
559,False
560,False
561,True
562,True
563,True
564,False
565,False
566,True
567,True
568,False
569,False
570,False
571,False
572,True
573,True
574,True
575,True
576,False
577,False
578,False
579,True
580,False
581,True
582,False
583,False
584,False
585,False
586,False
587,True
588,True
589,False
590,False
591,False
592,True
593,True
594,False
595,True
596,False
